"Age","Workclass","Education","Occupation","Relationship","Race","Capital-gain","Capital-loss","Hours-per-week","Country","Outcome","Predicted outcome"
28,"Private","HS-grad","Machine-op-inspct","Not-in-family","White",0,0,42,"Philippines","<=50K","<=50K"
17,"Private","HS-grad","Adm-clerical","Husband","White",0,0,47,"United-States","<=50K","<=50K"
40,"Private","Bachelors","Adm-clerical","Husband","Black",0,1887,46,"United-States",">50K","<=50K"
45,"Private","Masters","Prof-specialty","Unmarried","Black",0,0,30,"United-States","<=50K",">50K"
31,"Private","Masters","Adm-clerical","Husband","White",0,0,34,"Canada","<=50K",">50K"
24,"Self-emp","College","Handlers-cleaners","Own-child","White",0,1740,35,"United-States","<=50K","<=50K"
25,"Private","College","Transport-moving","Husband","White",0,0,60,"United-States","<=50K","<=50K"
60,"Self-emp","HS-grad","Craft-repair","Unmarried","White",0,0,34,"Cuba","<=50K","<=50K"
40,"Gov","No-school","Tech-support","Husband","White",0,0,56,"United-States","<=50K","<=50K"
22,"Private","No-school","Machine-op-inspct","Own-child","White",0,0,50,"United-States","<=50K","<=50K"
21,"Private","College","Craft-repair","Other-relative","White",0,0,20,"United-States","<=50K","<=50K"
36,"Private","HS-grad","Sales","Husband","White",0,0,42,"United-States","<=50K","<=50K"
41,"Gov","Doctorate","Exec-managerial","Husband","Black",0,0,25,"China",">50K","<=50K"
53,"Private","No-school","Prof-specialty","Not-in-family","Black",0,0,52,"United-States",">50K","<=50K"
35,"Self-emp","HS-grad","Handlers-cleaners","Husband","White",0,0,36,"United-States","<=50K","<=50K"
50,"Private","No-school","Craft-repair","Not-in-family","White",0,0,74,"India","<=50K","<=50K"
46,"Self-emp","College","Adm-clerical","Not-in-family","White",0,0,45,"United-States","<=50K","<=50K"
31,"Private","College","Sales","Not-in-family","White",0,0,47,"India","<=50K","<=50K"
40,"Private","No-school","Prof-specialty","Unmarried","White",0,0,36,"United-States","<=50K","<=50K"
26,"Private","College","Machine-op-inspct","Unmarried","White",0,0,42,"United-States","<=50K","<=50K"
40,"Private","No-school","Exec-managerial","Husband","White",0,0,31,"United-States","<=50K","<=50K"
33,"Private","HS-grad","Prof-specialty","Husband","White",0,0,58,"Italy",">50K","<=50K"
35,"Private","HS-grad","Transport-moving","Husband","White",0,0,38,"Italy","<=50K","<=50K"
45,"Private","Bachelors","Craft-repair","Husband","White",0,0,51,"Italy","<=50K","<=50K"
54,"Private","HS-grad","Transport-moving","Husband","White",0,0,37,"United-States","<=50K","<=50K"
49,"Private","College","Other-service","Not-in-family","White",0,0,60,"United-States","<=50K","<=50K"
40,"Private","HS-grad","Exec-managerial","Not-in-family","White",0,0,33,"Canada","<=50K","<=50K"
58,"Gov","HS-grad","Prof-specialty","Husband","White",0,0,13,"United-States",">50K","<=50K"
30,"Private","Bachelors","Adm-clerical","Unmarried","White",5178,0,44,"United-States",">50K","<=50K"
45,"Self-emp","College","Sales","Husband","White",0,0,43,"United-States","<=50K","<=50K"
17,"Private","HS-grad","Prof-specialty","Not-in-family","White",0,0,49,"India","<=50K","<=50K"
39,"Private","College","Exec-managerial","Wife","White",0,0,25,"United-States","<=50K","<=50K"
31,"Self-emp","HS-grad","Handlers-cleaners","Husband","White",0,0,25,"United-States",">50K","<=50K"
35,"Gov","HS-grad","Adm-clerical","Unmarried","White",0,0,46,"United-States","<=50K","<=50K"
44,"Private","College","Machine-op-inspct","Other-relative","White",0,0,44,"United-States","<=50K","<=50K"
50,"Private","College","Prof-specialty","Wife","White",0,0,42,"United-States","<=50K","<=50K"
65,"Gov","College","Craft-repair","Unmarried","White",0,0,16,"United-States","<=50K","<=50K"
21,"Private","No-school","Armed-Forces","Husband","White",0,0,33,"Canada","<=50K","<=50K"
