person,num_received,num_viewed,num_completed,num_transactions,money_spent
0009655768c64bdeb2e877511632db8f,5,4,3,8,127.6
0011e0d4e6b944f998e987f904e8c1e5,5,5,3,5,79.46000000000001
0020c2b971eb4e9188eac86d93036a77,5,3,3,8,196.86
0020ccbbb6d84e358d3414a3ff76cffd,4,4,3,12,154.05000000000004
003d66b6608740288d6cc97a6903f4f0,5,4,3,18,48.339999999999996
00426fe3ffde4c6b9cb9ad6d077a13ea,5,2,1,17,68.50999999999999
004b041fbfe44859945daa2c7f79ee64,3,2,2,6,138.36
004c5799adbf42868b9cff0396190900,5,4,5,12,347.37999999999994
005500a7188546ff8a767329a2f7c76a,5,3,1,4,20.36
0056df74b63b4298809f0b375a304cf4,4,3,3,5,144.14
00715b6e55c3431cb56ff7307eb19675,6,3,5,15,375.12000000000006
0082fd87c18f45f2be70dbcbb0fb8aad,5,4,2,7,121.85
00840a2ca5d2408e982d56544dc14ffd,6,2,3,17,62.93
00857b24b13f4fe0ad17b605f00357f5,5,3,,4,6.260000000000001
008d7088107b468893889da0ede0df5c,6,5,,7,16.18
0091d2b6a5ea4defaa8393e4e816db60,5,5,4,12,279.16
0099bf30e4cb4265875266eb3eb25eab,5,3,2,9,105.82999999999998
00a794f62b9a48beb58f8f6c02c2f1a6,5,5,1,11,166.40000000000003
00ae03011f9f49b8a4b3e6d416678b0b,6,5,4,8,218.04999999999998
00aee28bbb3848dd8a31f0c91dc267dd,3,2,,5,20.53
00b18b535d6d4f779dea4dc9ac451478,5,5,3,5,133.25
00b3400e4ff64ee68ce9ada1d0c222f0,5,2,3,10,163.92
00b3c376db2a4115af3aef34a02f61d6,3,2,3,8,219.63
00b901d68f8f4fd68075184cd0f772d2,4,4,,4,53.55
00bbce6533f44ddeaf4dd32bcab55441,4,4,3,7,77.21000000000001
00bc42a62f884b41a13cc595856cf7c3,5,4,5,8,150.64
00bc983061d3471e8c8e74d31b7c8b6f,4,2,1,3,63.5
00c20a9202d5475190b31a24de6fb06d,4,4,4,8,164.01
00c2f812f4604c8893152a5c6572030e,5,4,3,5,124.09
00c32a104f0c4065b5b552895fb22e34,4,3,,2,6.9799999999999995
00c5a385c71a4d3db5e9b4e31e430943,6,4,,2,2.59
00c6035df45840038a72766c6d27a0db,4,4,3,11,241.54999999999995
00c91f31f5f74e769fa7a359b63e1a9f,5,4,3,14,134.74
00ceaf16a40341e6996d543d04daa2c2,5,4,,9,26.98
00cf1bbec83f4a658f8994e556db4633,3,3,2,3,64.27
00cf471ed1aa42a8bdde5561d67da2b1,5,3,1,8,26.18
00d6dc87be4146ceb47fcd4baaaf6477,6,4,5,12,334.63999999999993
00d791e20c564add8056498e40eb56cc,5,5,4,19,59.62
00d7c95f793a4212af44e632fdc1e431,5,3,5,7,162.42000000000002
00d91c5919514448bc4f718e4e3f26ab,5,4,1,2,44.599999999999994
00e20b4ca129458aaab0f4727ef3513a,3,3,2,20,191.54999999999998
00e52682848542c3a6f59b7824e9a5c5,5,4,1,2,23.07
00e8d701c583461e81cc10053681a12b,4,3,1,7,30.98
00e9f403afa641889cd034ee7c7ca6e9,5,4,3,17,614.59
00ed7e22b32749cfafbfd88592d401d4,4,2,3,11,236.96
00ee2ca6421c4af0aeca60a1b3e00f6c,4,4,,1,4.03
00ee69db83964d6da32f8109b32a1ce7,5,4,,5,15.79
00fac72fd6ad448e8019b175267023df,4,4,4,10,186.22999999999996
00fbb9b5edb94f02afbaf1eb49bb4d7d,3,3,1,3,80.1
00fdd4416dec40b49180814c0a7c8d76,3,2,1,3,76.65
0103de989e084e0fab400e80678d7591,5,3,5,11,144.97
01162252405b4524a8fa1bf8e6d5f04b,6,4,4,18,129.86
01176ee7289b48e39ee6261d5c071a07,4,3,1,5,20.2
0118fbb66dd2443a9dd407d2c99a7672,4,4,,3,64.04
0121fe001b7a404fa9cbe486f8944baf,6,2,3,6,191.68
0123564dbaf144a88a418c33b6350c17,5,3,2,6,176.74
013094309e1b49e095c098df412d125d,5,5,3,20,69.17999999999999
01380da907f8495496679c795867790b,4,3,2,8,154.98999999999998
013f2c82889f4641a9b847a48861cce0,4,4,3,9,186.54000000000002
0141d3870a424c03a20390040efad826,5,3,,4,6.32
01443a2afce54939a323c978f467c540,5,5,5,16,417.93
014899c751254a62a96ce676eb11ddc2,6,5,3,10,287.11
0157e63b39c5456393026c6c03f3d84a,3,3,3,10,199.64999999999998
015c3d28c67e46aa95e9ec97c27220e8,5,5,5,10,235.41
015ef929e016415098eeae8ce59da721,5,1,1,3,18.28
015fb0b3fbaa4aceb910fbdf272f7547,5,4,,6,14.29
016086228d58476599d0b47881c25509,4,3,2,5,83.2
01613170f679422a8acfa96f0f19fdf2,4,3,,5,10.330000000000002
01633b71b3a2457aa7d35d8bcc3afb5a,4,4,4,8,161.51000000000002
016871ea865d4338975026ae08d221d0,6,2,1,3,45.79
016b37032984457fb33ba2767fcc8c9f,5,2,,15,55.17999999999999
016edb1d1d67477391c5337545a5d98a,6,5,3,9,131.04999999999998
017160c1cdb845d48abec3c330b4427e,4,2,3,9,198.08999999999997
01772eae932447f9a853461a60820dc6,4,3,1,8,58.28
01784d3e205548a594ba3fcdbdaaf17d,4,3,3,13,151.82999999999998
017a93d1204f457bbe85f5e7de062b56,5,5,2,13,110.52000000000001
017febbe52e64ac19cf28cf0d44386e4,6,5,3,10,1003.4100000000001
01873cc8de734961949af7c04b2e9872,5,4,1,18,50.550000000000004
01887dcd32b64feb807e2436548b6c87,6,6,2,3,64.33000000000001
018a49ffb8cf4812903e7c1f56fbb0b0,5,5,4,13,98.64999999999999
018b8f83176d471db63d9733c741fc8a,2,2,2,2,37.04
01925607d99c460996c281f17cdbb9e2,4,2,3,2,54.620000000000005
01956670cf414b309675aa73368b94a9,5,4,5,10,248.65
0196d2062b8d4d019b8d96292266e8a4,4,3,1,4,61.120000000000005
0199681637524988a14245632b8376af,4,3,4,10,222.95999999999998
019be0c6f8fd4000b1967c7308b4bdf4,5,4,3,21,141.20000000000002
019cc78d8fed432ca6df71c132c72a99,5,2,,7,16.48
019ed95d987446e3947da0246cdab831,3,1,2,8,515.0899999999999
01a202a9021e40aeaa5451a5d134c16c,4,2,2,6,156.05
01a5e8b57bc04e0292525f3e2817fa17,3,3,1,3,57.1
01ab25c31f034f85bc4ac9d286fb7a76,4,4,4,5,644.2899999999998
01ac633821f0498893320b41b5b22dfc,6,4,5,12,251.45999999999998
01b6d7e8f0884deb936a8a7f15dba895,5,5,4,12,162.89999999999998
01d26f638c274aa0b965d24cefe3183f,3,1,,8,39.74
01d7da27b8934ba1b3602a0153e4415f,5,4,,,
01de69b5edab4b89859ea8a7214ba35a,4,3,2,7,765.8800000000001
01e09d713abe4a36a70a33fe4b40534e,4,1,2,4,86.26
01e57718fc6b49b2875a9c02b32905b1,4,3,1,15,101.19
01e8739670a042b3877f8e843bdf55a7,5,3,2,8,181.16
01e97a4633bf4963838a4aa9ed1dce3e,5,4,,8,17.96
01ef4c6618b64334a15914ff9963eaac,4,1,2,5,135.57999999999998
01f33ff554d0443a9841adfd66d253f6,4,2,1,3,53.92
01f46a5191424005af436cdf48a5da7c,2,2,2,8,166.58999999999997
01f663b988964a4caca8b19abecb551d,4,3,2,5,97.64
01fe5ec668f241608eb2f7ec374cb1b7,1,1,,10,161.89000000000001
01ff6c5d8d014dbd8c120e2b43a065ea,6,4,4,9,139.41000000000003
0200f61c69da4c2ea078842cdaf234e6,6,4,6,9,195.01000000000002
0206e1388c34454caba2b7fce3123943,4,4,2,4,71.95
020be6e9805649858595dfbaab15ccd7,6,3,3,16,44.69
020be8b0fafa446ebcce6449b20bc92c,5,2,1,11,34.88
020cd0f8047142e18a754303f9337d53,5,5,4,13,232.9
020d72e77c704c42bb0a858c1aaa3bcd,5,5,3,18,252.14000000000004
0215efe5136d4a038cb81eae92d59368,5,5,4,13,767.2899999999998
021616b8deea46438e3badc7fca5894d,3,3,3,12,218.50999999999996
0217c4393fd54e74a523b63c0fcc3da5,4,3,4,13,230.21
0218964095c94da0bfac44cf40c9343f,3,3,1,9,223.7
021adce38ab34ede96422ae107643fd5,6,6,3,14,247.26
021c1940868647efbcb40ccdb942813b,6,6,5,5,86.28
0222d267445f4f078bc325224e471766,4,2,2,10,23.169999999999998
0225045e245f4b7289cc55c0b5870ae2,5,3,3,4,59.09
022f5553a0704b53ba26f2d23cb1234d,5,3,5,23,371.9100000000001
0231c913a51e420783be6bdeb75aa842,5,5,3,8,34.010000000000005
023411b8a45a4715979dae6cec425a8b,6,5,1,10,21.57
023a42cf62f742b795a975d56955e220,4,4,2,18,50.09
023fd15e56184ec19e23ed5a31c87543,4,2,,7,27.999999999999996
024218e67fa549a4a0a99b32b7b6fbf9,4,4,4,11,193.38
0246e7cc7a3d4a98a940cb13776b5b55,5,4,2,16,47.449999999999996
0246f8fdf0b64014a98822b70231c58d,6,4,2,4,89.37
0247953d899b4a99acab74fa0a807c0f,5,3,,10,22.650000000000002
0251876076024444864473545adce065,4,3,2,14,27.9
0252aa6f0dee4585ba886945c60f48f5,6,6,,1,10.36
02557fafcf334c30a22c312c5647f71a,6,2,,6,17.18
026876bc8c6a4e0c8e330342c92cc844,5,4,1,1,26.38
027596e6ed19471392923eb833b25fd3,4,2,1,6,14.860000000000001
02765747959045a0a7c452888b2f31eb,4,3,,5,49.290000000000006
0276c9a3092d4f79a29d61a1462f9b4d,4,4,4,12,204.48999999999998
027c18923c0146e58ccd615f6a62d82f,2,2,1,11,24.549999999999997
02865fee714e466e99f9bb7a7203887b,5,2,1,5,18.95
028a12f0ee584455850300886174f3d7,4,3,1,3,72.4
028c88a958e54c36a31c4800fd6e887b,5,3,5,14,372.02
029e063479234fb1b6c8727c3d45de62,4,2,1,3,69.77000000000001
02a3aa431c1047be8eafec3dcd6b5fd0,4,4,4,6,114.77
02a458e1233342b79caff81edbcc30a9,6,6,3,2,53.69
02abd909ebc94aca8766f3f0ee39db80,4,3,3,8,126.42
02b5aa5725f94bcb94ca58208015b7bc,4,2,2,13,39.91000000000001
02b6895b3cab4f79a116bddc1c70b5c3,3,2,1,16,47.81
02b7a80a321c4b078af92d494cc0f012,4,4,1,11,400.15999999999997
02ba8c272f284139abef53e0290bfb67,4,2,3,4,91.81
