customer_id,emails_sent,emails_opened,promos_used,orders_count,total_spent
3e32e3ad27714b9b93c39e05f193d5c8,5,4,1,4,28.65
4e69d0f150cc473aa0f3fd51f5441436,4,2,1,14,50.96
497ebcc1d2b7418a845f30924b74a184,4,3,2,18,119.18
6ac30d5cfd124ba28ad1453aa6d71db3,4,3,1,1,5.61
69750725e8a64e49bb416140b5fac191,4,3,1,22,83.87
f3429d5d77984b6e89f5761cbbeaf6b7,3,1,0,14,60.61
993abcb4e38e4540918afe54d6caad14,5,4,1,3,25.1
7b04c42795ac489f8839b26b2903ef6c,5,4,1,1,3.65
9500d382674d4e2dabfd470028977971,4,2,2,8,114.2
2006e04c335946db9977776b7963af69,3,3,2,15,77.12
71b8bdb673624d8993c69f0177b9816d,5,4,0,2,9.37
1afdb2a859324800ab9757bbc5f9afed,4,3,0,3,20.59
441b7b29e94840088df02c1ebc6c44d6,4,3,1,7,123.85
bbec99ee91a84e98abe4e82b18660bd1,5,5,3,20,127.46
93b989a1a39b44a7b2a6deee92d74e55,,5,3,5,79.91
177e4e1fda8946a6b89b54c0c85a553e,6,5,1,3,43.02
3286af8df9c94226af90149b449f82b2,6,3,0,2,23.31
4a129f92775947ef8d84eed9b61cfd38,6,3,0,1,6.58
00bf726c62e240bc8a3ec9d89c24edc0,3,2,0,4,56.11
3ac3d1aa54604ecdaaaac3b0f4ae2427,4,3,2,7,152.5
8ffa933b322147e2b89722d00e56b1f5,4,2,0,6,65.67
ed7cd7ce317745c7ac863a6978d32cbf,4,3,1,21,528.72
617b23c8ff0941609cea190945e37ac1,4,3,1,3,660.9
1f238b71b01e41f99f9acbd83a0db3b0,3,2,1,6,132.84
79ae0f8463f34ae28e14950d8718d0f3,6,5,2,21,101.65
fd23b171591e4f9190a1e70032cde269,5,5,1,3,11.17
efe505c892d2405f97330dbbeb478cca,4,2,0,2,15.44
c6804a5827474f9b99d4564d1ef2147a,5,3,0,3,17.27
cdee384a2452422e9c84e1d0278c9e4a,6,3,1,25,160.91
096b99c68b1149dd8ca3d7e2f6a26b4d,5,3,1,4,41.78
b9958be4b6904e71ad5ffb42cc7f7b2c,3,3,1,4,1392.86
7a57869f9be54bfea1d357d124f8d8c1,5,3,2,22,60.46
a20f97bf33694b0bb1b0fcbd6273c528,5,4,0,16,436.81
7a1ea8b26bf84ad6b9236ca9554a43ef,5,3,2,9,165.87
2591c285ddb14f3fb6bff0c43c9a187d,4,2,1,22,358.4
6604729001614f339b9161afd14455ef,6,4,1,6,86.53
212df456b4cf421fa95e8210e4981be7,4,4,2,14,71.95
009a23095e2a43eb89ddf7c1100836ee,6,3,3,9,176.54
3237896b0cd142c497236d429daa92a3,4,4,3,21,159.57
8bda6ebf98d34e5d88508b6cd03e5e9f,5,4,0,6,134.06
88b920c0270e48e49b136b3d5d7b52c9,4,4,0,20,61.14
ed09708a155d4361a9fd764f245d81a7,3,1,0,1,4.85
1603ce70260642a68be57eabe72a80fb,3,3,1,2,19.96
058879305553479796a62fd8577ca5e0,6,5,1,3,18.2
304716808618438991c6ddc59d6d0c0f,6,4,0,4,28.46
e7c54f5291304feeb7f832b101680f6a,5,4,2,22,542.42
219ad18a96cb4396aa178018232b2029,6,5,3,16,75.54
54bb30ceac3844ee8821b263349f499a,5,4,1,5,91.06
e539f0e414ce4d37803ec20b49fcc387,6,3,3,20,463.8
d13dee25aa4040668cd756e77285fdf6,3,3,1,17,80.41
56e74645edeb42878ea2477b0c0c55a7,4,4,1,1,4.71
496432ef02794e0e95f471510ee1d1e8,6,3,1,3,12.68
86a352dee223490fb717c5672d79e334,3,2,0,2,28.47
6540809acc1747c8bdd721cce8913d8d,3,1,0,4,53.78
541046cc29f6494d9fbfd85e4e794b20,4,2,0,2,8.02
df8b9708bdcf4d4eb971fb1831fe9416,5,3,0,4,28.8
3aa77fd7424643b3b8c7a9ff5e4c3f6b,4,4,1,3,39.98
7d0157dc0f8a44acb4ba568924ae4c7b,4,2,0,4,18.93
7b5ee3217c49401eb7afe5c01c7a04f1,5,4,0,6,75.02
0d404fe1e58a480dac50c6577ee454b9,3,3,2,5,82.16
0be92d6479e247bda8da2de4f8ad5c51,4,3,3,13,298.83
fa23b5fa89454982b9ba1b550deeb9db,6,3,0,7,133.43
7456b9d061744169958b1195d5da54d9,5,5,1,21,495.07
b2761624c7654671a9419f8f20c47a2f,5,4,3,9,118.5
a20456fac02d4419988a24ccf7851128,6,3,0,4,26.45
4b50205cd46f499a813690bd7960f517,6,5,1,25,129.69
30a07926ea184e11b6f12d586019360e,5,2,0,13,62.23
140a4630d9224bedb48b995018cad3ef,6,6,1,2,17.06
66590e7a17a74163aa9f9c0d28724199,6,3,0,6,141.79
a80655ba77354a1aaf6275f7c32724fa,4,2,0,1,8.21
98a568a885a44c73b4d91da12e6b429d,4,3,0,4,32.44
a14d62e36bf048cfbfc95f86e9aa8358,3,1,0,1,9.55
f615f3ffbd154e5697d34c4823f15973,4,3,3,16,389.35
6e1bc685aed84b2c869b273ac857a57f,4,3,1,4,22.19
d69cf486812e472d880a821ddb2cc04e,4,3,1,2,17.51
3557f2c105704963b495b8a7484f0d63,4,3,2,12,313.24
ba1c5cbc0a5245bd87026cbd80a750cf,4,4,0,5,74.79
c6adba8a9fb04b8880199c36faf621b9,6,4,1,15,65.84
8bf8b3395b07407887150262d250f935,4,2,0,4,28.93
a0f3df996f494c308aa1c16a20afe54d,4,3,1,4,32.07
be26fb6ed5c64fd0969b7e525a3cf450,6,5,2,6,67.14
d73cd2ca3bf24cf4bdd0bd0518035c52,6,3,2,14,51.97
27afff6310f54ae790aed68df59d7c9e,6,4,2,17,71.62
995d524545ef463fa1597630524418be,6,6,2,13,225.38
8dd3d8ab6b184957986a82844a45eda8,6,5,4,22,136.52
d60e55b7eeb2492ea0c5adaa75b0aa6a,4,3,1,9,160.76
23108da4dd0b41848c712de91d919d7c,5,4,0,7,152.88
531b7b56eb244c459914df41aca90301,3,3,2,15,388.59
45a7106ba48049b6807bf33b0b36d5c7,4,2,1,3,36.78
9471af0a93b34253902b58fb541626a1,3,2,0,15,276.51
3d47b51b9b5d4a0d8c71fac9ff9546c9,6,4,0,2,18.55
fca15601f3fe47b7a1a4257ff76a068d,6,4,3,14,256.41
853b32af1c154fae8d2a880f19fbe9a9,4,4,1,11,157.06
ced945ea460344af92736f82fc4225de,3,2,1,15,65.12
6bb472e57a214bdcaa621a17a23e1f3f,4,2,1,22,603.26
5ba36011afa5478797f55cde80e2e96b,4,2,0,10,189.05
80fa01d9634e414d8b8ea358e5fe691f,3,2,1,14,48.27
5117a0a7e2d246c88895d55cda150758,6,3,1,12,254.1
7b5a9822d5aa4658a2c777febbdf9cc4,6,3,2,17,99.73
898cffde38d646daac72845801956b39,5,4,2,22,137.11
126d7154591b4ca48ba858d5eb4840b9,4,4,1,2,17.24
82a912145de047ebb47bb237af530f0c,3,1,0,5,59.2
51ce224b1b374cba95723d0d71a7ac8b,6,4,2,22,117.84
47c0ebac77b14906ae52b92776a5dd89,5,5,0,6,126.03
5b4d505a2df34a20b8b4f8b7d3bd3ce3,6,6,1,4,27.83
278e4a1f86c44cd9b6476eb32540f29f,5,2,0,3,40.69
8d6a52bcc5a1480dbe5dd554877d4f90,4,3,1,1,4.63
a2527c2049304cccb6949bc4db2b3455,6,3,0,3,18.41
23f11de8b8f644cb9ce675cf1c022dd9,4,3,1,6,81.0
65a098bbbacc499fa9da744347b64841,3,3,1,3,40.12
742c436cc6fd453c9128e2dddf6cc20c,5,2,0,23,124.0
2066d771e8614654ab000c2de80b85a9,5,4,3,21,414.77
0da7a0778c3545948f0030493ca69c5b,4,2,1,6,80.54
aff4e7b0919e4f3b9d3873ee2cee9613,4,2,1,4,18.28
dad40e52d6474f8e82abfb11d81f84ba,4,2,2,9,182.06
36cce31e13db4bbaa597c3b9e06d99cd,6,5,1,25,83.08
ad349d3110e24948825ca4f99ef09041,3,3,1,13,52.92
b361409e3001416eaab50bc89e073d29,5,2,1,12,239.51
688c3c8ca0294c8a81349b5202d57128,5,4,0,3,13.12
9be8a64f559643868279a840ca085097,4,3,1,19,109.56
b565790c4e084bfe9a6e2e8f26bb4f35,4,2,1,13,303.37
65a8fc662ab849e6ab802d47d573963f,4,4,0,24,126.32
a9c8bc7cd76c43798231d8b7a039590d,4,4,4,13,236.65
0d427e1e83f24fe8973a2d31a9b5ffb6,6,5,3,7,105.34
552f563d04c14253907ffdfd94dc08db,5,2,1,2,24.52
2dccc9cc4099417dad80421a9c78df63,6,3,1,8,155.2
af65d12f6c7e455dbd1b396b2bf3552e,3,2,1,19,452.49
5dac2a7080ea4da8b25b84b70da4aabf,3,3,2,18,81.92
99db5a97339841259ceffe4e70229e40,3,2,0,9,184.17
82cf14e9ee37434c98fbab72889b1110,3,2,0,6,74.0
3e4c22c346ef4128b4d5ca0318787683,4,4,4,20,512.65
45af9315c1204c5980219e8093ca4b47,6,3,0,2,13.35
2456ac5912db458fb2b3b6c746286293,5,3,2,22,352.74
5987e66a89d64cb799c2e0c1ea738d1e,6,5,3,23,105.41
c43e21abb0464c38be528a9cff21e94b,6,3,1,9,184.43
c4529cd70c3a4da1824484ca51daf203,5,3,2,18,115.17
6bf09ef59a29453da08f43df2f18f146,3,2,0,21,111.7
3ac5c0cecbff4bd48d8e384bb4ae3356,3,3,0,5,1297.92
a7a1063f1d4e40f4a697c191f0c32a09,4,2,0,2,9.07
6222443c8a5549b2ada228834cf36330,6,3,1,20,361.88
7f6a2bf01bf14a0aaf941de30c7de823,6,4,0,4,97.25
3f05d1569b4d45c4a0131cabf4b66deb,3,2,1,18,267.5
1b3d785fcc15474c867e9665e5d896d2,6,3,1,12,61.53
ef666677a44f406faa73ba24cb5a544a,4,2,0,1,4.45
fe46adb9e06a40d5819b8a5d045f2f42,3,3,1,6,88.12
e7225b193d2d41a194433726bbb9ffb9,5,4,3,6,102.45
9c39388ab3624ade857c14b579c32f20,4,2,1,4,59.44
14410174e5244bf4b0a420c1069ad654,6,3,1,16,101.01
735d9c40333d46a8b24168f66978079b,4,3,1,3,19.55
77193c30905f4037b6fc54b30d0d473b,3,3,2,18,441.55
20ac6c7e1b21446cbe6850a0d975dafa,5,4,1,4,30.29
4705ce954d204f4c96198589922b2f90,6,4,3,8,155.26
3b992aaadf3748f89fbf5438c53eac73,6,3,0,25,156.9
5f6bf75faf314f9ea4798d2d516a9a9c,5,3,1,4,60.07
6cfada90e4fe41e197b83eb6007acf4b,3,3,0,4,32.54
9966b3b20d9344cc9b628ae5230c85a6,6,5,2,22,124.84
fd1d765b6cf34d24a9e413909a96d2a4,5,3,0,7,97.49
9edc2b2ba05546039b168f7267935c39,5,3,1,8,133.62
b94593b7a0c1478c828d4a451f3c700b,5,4,1,1,4.73
86ecd2e2448d4f31a02423ef1f2b6989,6,4,0,22,93.8
d11fc8b1fc794b64a1724e39fc3d8e48,4,3,0,3,28.52
fd69d1c8f5dd44e38258940ea2c13e3b,4,2,0,2,16.12
efb1a0cf997e4730a9057342ed306d64,4,2,1,12,71.47
ca2e41fba45c44dc92f9848b754bba0f,6,4,1,2,26.95
2bedd57a35a34d649b7224eca1f82fba,5,2,1,25,163.51
